accession,dataset,row_id:ID(Protein),:LABEL
A0A075B5I0,UP000005640_9606,0,Protein
A0A075B5I2,UP000005640_9606,1,Protein
A0A075B5J4,UP000005640_9606,2,Protein
A0A075B5J6,UP000005640_9606,3,Protein
A0A075B5J9,UP000005640_9606,4,Protein
A0A075B5K0,UP000005640_9606,5,Protein
A0A075B5K2,UP000005640_9606,6,Protein
A0A075B5K3,UP000005640_9606,7,Protein
A0A075B5K6,UP000005640_9606,8,Protein
A0A075B5L0,UP000005640_9606,9,Protein
A0A075B5L1,UP000005640_9606,10,Protein
A0A075B5L2,UP000005640_9606,11,Protein
A0A075B5L3,UP000005640_9606,12,Protein
A0A075B5L6,UP000005640_9606,13,Protein
A0A075B5L7,UP000005640_9606,14,Protein
A0A075B5L8,UP000005640_9606,15,Protein
A0A075B5M1,UP000005640_9606,16,Protein
A0A075B5M2,UP000005640_9606,17,Protein
A0A075B5M3,UP000005640_9606,18,Protein
A0A075B5M4,UP000005640_9606,19,Protein
A0A075B5M7,UP000005640_9606,20,Protein
A0A075B5N3,UP000005640_9606,21,Protein
A0A075B5N4,UP000005640_9606,22,Protein
A0A075B5N5,UP000005640_9606,23,Protein
A0A075B5N7,UP000005640_9606,24,Protein
A0A075B5N8,UP000005640_9606,25,Protein
A0A075B5N9,UP000005640_9606,26,Protein
A0A075B5P0,UP000005640_9606,27,Protein
A0A075B5P1,UP000005640_9606,28,Protein
A0A075B5P8,UP000005640_9606,29,Protein
A0A075B5P9,UP000005640_9606,30,Protein
A0A075B5Q0,UP000005640_9606,31,Protein
A0A075B5Q2,UP000005640_9606,32,Protein
A0A075B5Q3,UP000005640_9606,33,Protein
A0A075B5Q4,UP000005640_9606,34,Protein
A0A075B5Q5,UP000005640_9606,35,Protein
A0A075B5Q7,UP000005640_9606,36,Protein
A0A075B5Q8,UP000005640_9606,37,Protein
A0A075B5R0,UP000005640_9606,38,Protein
A0A075B5R1,UP000005640_9606,39,Protein
A0A075B5R2,UP000005640_9606,40,Protein
A0A075B5R4,UP000005640_9606,41,Protein
A0A075B5R5,UP000005640_9606,42,Protein
A0A075B5R6,UP000005640_9606,43,Protein
A0A075B5R7,UP000005640_9606,44,Protein
A0A075B5R8,UP000005640_9606,45,Protein
A0A075B5R9,UP000005640_9606,46,Protein
A0A075B5S0,UP000005640_9606,47,Protein
A0A075B5S1,UP000005640_9606,48,Protein
A0A075B5S2,UP000005640_9606,49,Protein
A0A075B5S3,UP000005640_9606,50,Protein
A0A075B5S4,UP000005640_9606,51,Protein
A0A075B5S6,UP000005640_9606,52,Protein
A0A075B5S9,UP000005640_9606,53,Protein
A0A075B5T0,UP000005640_9606,54,Protein
A0A075B5T1,UP000005640_9606,55,Protein
A0A075B5T2,UP000005640_9606,56,Protein
A0A075B5T3,UP000005640_9606,57,Protein
A0A075B5T4,UP000005640_9606,58,Protein
A0A075B5T5,UP000005640_9606,59,Protein
A0A075B5T6,UP000005640_9606,60,Protein
A0A075B5T7,UP000005640_9606,61,Protein
A0A075B5U0,UP000005640_9606,62,Protein
A0A075B5U1,UP000005640_9606,63,Protein
A0A075B5U7,UP000005640_9606,64,Protein
A0A075B5U9,UP000005640_9606,65,Protein
A0A075B5V0,UP000005640_9606,66,Protein
A0A075B5V1,UP000005640_9606,67,Protein
A0A075B5V2,UP000005640_9606,68,Protein
A0A075B5V5,UP000005640_9606,69,Protein
A0A075B5V6,UP000005640_9606,70,Protein
A0A075B5V7,UP000005640_9606,71,Protein
A0A075B5V8,UP000005640_9606,72,Protein
A0A075B5V9,UP000005640_9606,73,Protein
A0A075B5W1,UP000005640_9606,74,Protein
A0A075B5W3,UP000005640_9606,75,Protein
A0A075B5W4,UP000005640_9606,76,Protein
A0A075B5W5,UP000005640_9606,77,Protein
A0A075B5W6,UP000005640_9606,78,Protein
A0A075B5W7,UP000005640_9606,79,Protein
A0A075B5W9,UP000005640_9606,80,Protein
A0A075B5X1,UP000005640_9606,81,Protein
A0A075B5X2,UP000005640_9606,82,Protein
A0A075B5X3,UP000005640_9606,83,Protein
A0A075B5X4,UP000005640_9606,84,Protein
A0A075B5X5,UP000005640_9606,85,Protein
A0A075B5X6,UP000005640_9606,86,Protein
A0A075B5Y0,UP000005640_9606,87,Protein
A0A075B5Y2,UP000005640_9606,88,Protein
A0A075B5Y3,UP000005640_9606,89,Protein
A0A075B5Y4,UP000005640_9606,90,Protein
A0A075B5Y6,UP000005640_9606,91,Protein
A0A075B5Y9,UP000005640_9606,92,Protein
A0A075B5Z0,UP000005640_9606,93,Protein
A0A075B5Z2,UP000005640_9606,94,Protein
A0A075B5Z4,UP000005640_9606,95,Protein
A0A075B5Z7,UP000005640_9606,96,Protein
A0A075B5Z8,UP000005640_9606,97,Protein
A0A075B601,UP000005640_9606,98,Protein
A0A075B603,UP000005640_9606,99,Protein
A0A075B604,UP000005640_9606,100,Protein
A0A075B606,UP000005640_9606,101,Protein
A0A075B607,UP000005640_9606,102,Protein
A0A075B612,UP000005640_9606,103,Protein
A0A075B614,UP000005640_9606,104,Protein
A0A075B615,UP000005640_9606,105,Protein
A0A075B617,UP000005640_9606,106,Protein
A0A075B618,UP000005640_9606,107,Protein
A0A075B619,UP000005640_9606,108,Protein
A0A075B620,UP000005640_9606,109,Protein
A0A075B621,UP000005640_9606,110,Protein
A0A075B622,UP000005640_9606,111,Protein
A0A075B623,UP000005640_9606,112,Protein
A0A075B624,UP000005640_9606,113,Protein
A0A075B625,UP000005640_9606,114,Protein
A0A075B627,UP000005640_9606,115,Protein
A0A075B631,UP000005640_9606,116,Protein
A0A075B633,UP000005640_9606,117,Protein
A0A075B634,UP000005640_9606,118,Protein
A0A075B635,UP000005640_9606,119,Protein
A0A075B636,UP000005640_9606,120,Protein
A0A075B638,UP000005640_9606,121,Protein
A0A075B639,UP000005640_9606,122,Protein
A0A075B641,UP000005640_9606,123,Protein
A0A075B642,UP000005640_9606,124,Protein
A0A075B644,UP000005640_9606,125,Protein
A0A075B647,UP000005640_9606,126,Protein
A0A075B648,UP000005640_9606,127,Protein
A0A075B649,UP000005640_9606,128,Protein
A0A075B650,UP000005640_9606,129,Protein
A0A075B651,UP000005640_9606,130,Protein
A0A075B652,UP000005640_9606,131,Protein
A0A075B653,UP000005640_9606,132,Protein
A0A075B654,UP000005640_9606,133,Protein
A0A075B656,UP000005640_9606,134,Protein
A0A075B657,UP000005640_9606,135,Protein
A0A075B658,UP000005640_9606,136,Protein
A0A075B661,UP000005640_9606,137,Protein
A0A075B663,UP000005640_9606,138,Protein
A0A075B666,UP000005640_9606,139,Protein
A0A075B674,UP000005640_9606,140,Protein
A0A075B676,UP000005640_9606,141,Protein
A0A075B677,UP000005640_9606,142,Protein
A0A075B680,UP000005640_9606,143,Protein
A0A075B684,UP000005640_9606,144,Protein
A0A075B685,UP000005640_9606,145,Protein
A0A075B693,UP000005640_9606,146,Protein
A0A075B695,UP000005640_9606,147,Protein
A0A075B696,UP000005640_9606,148,Protein
A0A075B697,UP000005640_9606,149,Protein
A0A075B699,UP000005640_9606,150,Protein
A0A075B6A1,UP000005640_9606,151,Protein
A0A075B6A4,UP000005640_9606,152,Protein
A0A075B6A6,UP000005640_9606,153,Protein
A0A075B6A7,UP000005640_9606,154,Protein
A0A075B6A9,UP000005640_9606,155,Protein
A0A075B6B0,UP000005640_9606,156,Protein
A0A075B6B4,UP000005640_9606,157,Protein
A0A075B6B9,UP000005640_9606,158,Protein
A0A075B6C1,UP000005640_9606,159,Protein
A0A075B6C4,UP000005640_9606,160,Protein
A0A075B6C7,UP000005640_9606,161,Protein
A0A075B6C9,UP000005640_9606,162,Protein
A0A075B6D0,UP000005640_9606,163,Protein
A0A075B6D1,UP000005640_9606,164,Protein
A0A075B6D3,UP000005640_9606,165,Protein
A0A075B6D4,UP000005640_9606,166,Protein
A0A075B6D8,UP000005640_9606,167,Protein
A0A077KA19,UP000005640_9606,168,Protein
A0A087WNM4,UP000005640_9606,169,Protein
A0A087WNP0,UP000005640_9606,170,Protein
A0A087WNP5,UP000005640_9606,171,Protein
A0A087WNP8,UP000005640_9606,172,Protein
A0A087WNW4,UP000005640_9606,173,Protein
A0A087WNW5,UP000005640_9606,174,Protein
A0A087WNZ6,UP000005640_9606,175,Protein
A0A087WP11,UP000005640_9606,176,Protein
A0A087WP21,UP000005640_9606,177,Protein
A0A087WP28,UP000005640_9606,178,Protein
A0A087WP35,UP000005640_9606,179,Protein
A0A087WP44,UP000005640_9606,180,Protein
A0A087WP46,UP000005640_9606,181,Protein
A0A087WP50,UP000005640_9606,182,Protein
A0A087WPA5,UP000005640_9606,183,Protein
A0A087WPA9,UP000005640_9606,184,Protein
A0A087WPC3,UP000005640_9606,185,Protein
A0A087WPF7,UP000005640_9606,186,Protein
A0A087WPG5,UP000005640_9606,187,Protein
A0A087WPH4,UP000005640_9606,188,Protein
A0A087WPJ9,UP000005640_9606,189,Protein
A0A087WPM2,UP000005640_9606,190,Protein
A0A087WPN2,UP000005640_9606,191,Protein
A0A087WPN7,UP000005640_9606,192,Protein
